"X","Y","L1"
6.56414631405972,53.5558051900723,1
6.56402278081866,53.5513137320636,1
6.54893844808584,53.5514599038912,1
6.54820735769555,53.5245108745785,1
6.55574479535966,53.5244380825646,1
6.55562225933738,53.5199465601346,1
6.57823202553043,53.5197253882991,1
6.57860683249184,53.5331998437925,1
6.58614573173578,53.5331251483515,1
6.58627151778184,53.5376166079759,1
6.59381117727487,53.5375414315171,1
6.59406442135275,53.5465243072551,1
6.61668796094322,53.5462958906605,1
6.61681700148687,53.5507872863019,1
6.62435891062089,53.5507101948173,1
6.62448877328096,53.5552015723111,1
6.56414631405972,53.5558051900723,1
6.45843004622544,53.5522973476895,2
6.45820521686939,53.5433141457737,2
6.44312326082989,53.54344708614,2
6.4427909627311,53.5299721716692,2
6.43525231660334,53.5300379087659,2
6.43481278418049,53.5120712126641,2
6.44988373021192,53.5119393378207,2
6.4499951531345,53.5164310058375,2
6.45753137582973,53.5163643534114,2
6.45764361532656,53.5208560048313,2
6.47271755945114,53.5207212696075,2
6.47305918080521,53.5341961235502,2
6.48059848260298,53.5341280224094,2
6.48048379111088,53.5296364212615,2
6.52571427518316,53.5292179783994,2
6.52607266201068,53.5426925910677,2
6.49590963163396,53.5429735492504,2
6.49602598760537,53.5474651086792,2
6.4809427222494,53.5476027791655,2
6.48105752388741,53.5520943491427,2
6.45843004622544,53.5522973476895,2
6.38980955587523,53.521439005025,3
6.38970442535043,53.5169472758822,3
6.39724085655024,53.5168843900125,3
6.39713496150347,53.5123926615571,3
6.41974173279811,53.5122012045002,3
6.41984999698979,53.5166929074299,3
6.41231364255925,53.5167572057831,3
6.41242114282416,53.521248909583,3
6.38980955587523,53.521439005025,3
6.36699224518058,53.5126413468606,4
6.36688953375356,53.5081495775723,4
6.38949423992513,53.507963794523,4
6.3895993200367,53.5124555390436,4
6.36699224518058,53.5126413468606,4
6.03492362105666,53.4834350669086,5
6.03485577235766,53.4789429463198,5
6.04238607982682,53.4789022416005,5
6.04231745900628,53.4744101189293,5
6.04984696165894,53.4743689493033,5
6.04998579667708,53.4833531761667,5
6.03492362105666,53.4834350669086,5
6.29163375647426,53.5132301050074,6
